position,equipe,points,victoires,nulls,défaites,bo,bd,journee
8,La Rochelle,45,9,0,10,5,4,19
9,Toulon,45,9,1,9,6,1,19
10,Lyon,43,9,1,9,3,2,19
11,Castres,42,9,0,10,1,5,19
12,Bayonne,41,9,0,10,3,2,19
13,Perpignan,19,4,0,15,1,2,19
14,Montauban,7,1,1,17,0,1,19
1,Stade Toulousain,71,15,0,5,11,2,20
2,Pau,59,13,0,7,5,2,20
3,Stade Français,59,11,1,8,8,5,20
4,Bordeaux-Bègles,59,12,0,8,8,3,20
5,Montpellier,57,11,1,8,7,4,20
6,Clermont,52,11,0,9,6,2,20
7,Racing 92,50,11,1,8,3,1,20
8,Castres,47,10,0,10,2,5,20
9,La Rochelle,45,9,0,11,5,4,20
10,Bayonne,45,10,0,10,3,2,20
11,Toulon,45,9,1,10,6,1,20
12,Lyon,44,9,1,10,3,3,20
13,Perpignan,23,5,0,15,1,2,20
14,Montauban,7,1,1,18,0,1,20
1,Stade Toulousain,76,16,0,5,12,2,21
2,Pau,64,14,0,7,6,2,21
3,Montpellier,61,12,1,8,7,4,21
4,Stade Français,59,11,1,9,8,5,21
5,Bordeaux-Bègles,59,12,0,9,8,3,21
6,Clermont,57,12,0,9,7,2,21
7,Racing 92,55,12,1,8,4,1,21
8,La Rochelle,50,10,0,11,6,4,21
9,Toulon,50,10,1,10,7,1,21
10,Castres,47,10,0,11,2,5,21
11,Bayonne,45,10,0,11,3,2,21
12,Lyon,44,9,1,11,3,3,21
13,Perpignan,23,5,0,16,1,2,21
14,Montauban,7,1,1,19,0,1,21
1,Stade Toulousain,77,16,0,6,12,3,22
2,Pau,65,14,0,8,6,3,22
3,Montpellier,65,13,1,8,7,4,22
4,Stade Français,63,12,1,9,8,5,22
5,Clermont,61,13,0,9,7,2,22
6,Bordeaux-Bègles,60,12,0,10,8,4,22
7,Racing 92,60,13,1,8,5,1,22
8,Toulon,55,11,1,10,8,1,22
9,La Rochelle,54,11,0,11,6,4,22
10,Castres,48,10,0,12,2,6,22
11,Lyon,48,10,1,11,3,3,22
12,Bayonne,45,10,0,12,3,2,22
13,Perpignan,24,5,0,17,1,3,22
14,Montauban,7,1,1,20,0,1,22
1,Stade Toulousain,82,17,0,6,13,3,23
2,Montpellier,70,14,1,8,8,4,23
3,Pau,69,15,0,8,6,3,23
4,Stade Français,68,13,1,9,9,5,23
5,Clermont,66,14,0,9,8,2,23
6,Bordeaux-Bègles,64,13,0,10,8,4,23
7,Racing 92,61,13,1,9,5,2,23
8,La Rochelle,58,12,0,11,6,4,23
9,Toulon,55,11,1,11,8,1,23
10,Castres,48,10,0,13,2,6,23
11,Lyon,48,10,1,12,3,3,23
12,Bayonne,46,10,0,13,3,3,23
13,Perpignan,24,5,0,18,1,3,23
14,Montauban,7,1,1,21,0,1,23
1,Stade Toulousain,82,17,0,6,13,3,24
2,Montpellier,70,14,1,8,8,4,24
3,Pau,69,15,0,8,6,3,24
4,Stade Français,68,13,1,9,9,5,24
5,Clermont,66,14,0,9,8,2,24
6,Bordeaux-Bègles,64,13,0,10,8,4,24
7,Racing 92,61,13,1,9,5,2,24
8,La Rochelle,58,12,0,11,6,4,24
9,Toulon,55,11,1,11,8,1,24
10,Castres,48,10,0,13,2,6,24
11,Lyon,48,10,1,12,3,3,24
12,Bayonne,46,10,0,13,3,3,24
13,Perpignan,24,5,0,18,1,3,24
14,Montauban,7,1,1,21,0,1,24
1,Stade Toulousain,82,17,0,6,13,3,25
2,Montpellier,70,14,1,8,8,4,25
3,Pau,69,15,0,8,6,3,25
4,Stade Français,68,13,1,9,9,5,25
5,Clermont,66,14,0,9,8,2,25
6,Bordeaux-Bègles,64,13,0,10,8,4,25
7,Racing 92,61,13,1,9,5,2,25
8,La Rochelle,58,12,0,11,6,4,25
9,Toulon,55,11,1,11,8,1,25
10,Castres,48,10,0,13,2,6,25
11,Lyon,48,10,1,12,3,3,25
12,Bayonne,46,10,0,13,3,3,25
13,Perpignan,24,5,0,18,1,3,25
14,Montauban,7,1,1,21,0,1,25
1,Stade Toulousain,82,17,0,6,13,3,26
2,Montpellier,70,14,1,8,8,4,26
3,Pau,69,15,0,8,6,3,26
4,Stade Français,68,13,1,9,9,5,26
5,Clermont,66,14,0,9,8,2,26
6,Bordeaux-Bègles,64,13,0,10,8,4,26
7,Racing 92,61,13,1,9,5,2,26
8,La Rochelle,58,12,0,11,6,4,26
9,Toulon,55,11,1,11,8,1,26
10,Castres,48,10,0,13,2,6,26
11,Lyon,48,10,1,12,3,3,26
12,Bayonne,46,10,0,13,3,3,26
13,Perpignan,24,5,0,18,1,3,26
14,Montauban,7,1,1,21,0,1,26
